epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0033917502,0.06372425,-0.002533867,0.057971362,10.0,-8.186211,0.1,50.0,0.0
1,-0.0034267239,0.06365746,-0.002570752,0.057875622,20.0,-6.6216035,0.1,100.0,0.0
2,-0.0033925732,0.063606255,-0.0025352114,0.057813466,30.0,-7.046794,0.0,150.0,0.0
3,-0.0033421144,0.0634955,-0.0024980337,0.057696056,40.0,-6.1231346,0.1,200.0,0.0
4,-0.0034072471,0.06341893,-0.0025378389,0.057609305,50.0,-8.863196,0.0,250.0,0.0
5,-0.0034252352,0.06338713,-0.002561094,0.057553086,60.0,-8.186992,0.1,300.0,0.0
6,-0.0033325593,0.06331327,-0.0024914893,0.057462037,70.0,-7.154106,0.1,350.0,0.0
7,-0.0033982452,0.06325791,-0.0025491547,0.05739512,80.0,-7.5190187,0.1,400.0,0.0
8,-0.0034363195,0.063157834,-0.0025551438,0.057295296,90.0,-7.1477585,0.1,450.0,0.0
9,-0.0034757147,0.06310616,-0.0025801554,0.057238054,100.0,-7.29235,0.1,500.0,0.0
10,-0.0034693442,0.06300365,-0.0025802047,0.057132233,110.0,-8.314684,0.2,550.0,0.0
11,-0.0033758993,0.06291404,-0.0025242965,0.057024807,120.0,-7.0469832,0.0,600.0,0.0
12,-0.0033334605,0.06286414,-0.0025213624,0.056961846,130.0,-7.83298,0.2,650.0,0.04
13,-0.003350482,0.062784754,-0.0025463786,0.056879923,140.0,-6.985362,0.0,700.0,0.0
14,-0.0033877224,0.06270432,-0.0025757821,0.056799483,150.0,-6.9474154,0.2,750.0,0.0
15,-0.0033886835,0.0626188,-0.0025635252,0.056725815,160.0,-7.2092857,0.3,800.0,0.0
16,-0.00338834,0.06254954,-0.002560561,0.05664811,170.0,-7.555845,0.1,850.0,0.0
17,-0.0034226675,0.06250098,-0.002603791,0.056594998,180.0,-6.427162,0.2,900.0,0.0
18,-0.0034057514,0.062442023,-0.002593932,0.056513548,190.0,-7.417323,0.1,950.0,0.0
19,-0.0033978436,0.06239297,-0.002581759,0.056451976,200.0,-6.8895006,0.3,1000.0,0.0
